,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,size_feature,geo_feature_1,image_feature_6,geo_feature_2,tag_list_4,facility_info_feature_8,house_info_dict_park_no,house_info_dict_west,facility_info_feature_4,house_description_2,tag_list_5,facility_info_feature_1,facility_info_feature_5,house_info_dict_east,tag_list_2,house_info_dict_park_rent,house_info_dict_south,facility_info_feature_10,tag_list_1,house_info_dict_heat,house_info_dict_elevator,tag_list_6,house_info_dict_elect,house_info_dict_medium,house_info_dict_water,house_info_dict_high,house_info_dict_floor,house_info_dict_checkin,layout_feature_hall,facility_info_feature_3,agent_feature,layout_feature_room,image_feature_9,tag_list_9,image_feature_2,image_num_feature,house_description_1,tag_list_8,facility_info_feature_6,house_info_dict_park_free,facility_info_feature_9,house_description_3,image_feature_8,house_info_low,tag_list_10,image_feature_5,facility_info_feature_7,facility_info_feature_2,tag_list_7,image_feature_1,tag_list_3,image_feature_3,subway_feature_num,subway_feature_dis,image_feature_10,house_info_dict_north,image_feature_7,image_feature_4
1,2,44,53,45,37,27,15,5,23,31,38,20,24,4,35,14,6,29,34,19,13,39,18,10,17,9,12,8,1,22,33,0,56,42,49,3,30,41,25,16,28,32,55,11,43,52,26,21,40,48,36,50,47,46,57,7,54,51
