,0,1
0,5,2.391344058124834
1,10,1.6916650676612774
2,15,1.8144797746301595
3,20,1.8101363626882399
4,25,1.8145791073560287
5,30,1.7630696007031068
6,35,1.7736583862988045
7,40,1.7984512637829542
8,45,1.8188706433508175
9,50,1.8106883466636488
10,55,1.8448808118849722
11,60,0.8769795898046902
