,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,layout_feature_room,geo_feature_1,geo_feature_2,house_info_dict_floor,house_info_low,house_info_dict_park_free,image_feature_1,tag_list_2,facility_info_feature_4,image_num_feature,image_feature_6,house_info_dict_elevator,tag_list_4,layout_feature_hall,tag_list_7,house_info_dict_checkin,house_info_dict_high,facility_info_feature_7,house_info_dict_north,house_info_dict_elect,tag_list_1,house_info_dict_heat,facility_info_feature_8,facility_info_feature_2,house_info_dict_water,house_info_dict_park_no,house_info_dict_park_rent,subway_feature_num,tag_list_6,tag_list_10,house_info_dict_west,house_info_dict_south,tag_list_9,image_feature_4,house_info_dict_medium,tag_list_8,house_description_2,tag_list_5,house_info_dict_east,facility_info_feature_1,facility_info_feature_5,facility_info_feature_6,house_description_3,facility_info_feature_3,facility_info_feature_9,image_feature_8,image_feature_7,tag_list_3,image_feature_10,image_feature_9,facility_info_feature_10,house_description_1,image_feature_3,image_feature_2,agent_feature,size_feature,image_feature_5,subway_feature_dis
1,0,44,45,12,11,16,48,35,23,3,53,13,37,1,40,8,9,26,7,18,34,19,27,21,17,15,14,47,39,43,5,6,42,51,10,41,31,38,4,20,24,25,32,22,28,55,54,36,57,56,29,30,50,49,33,2,52,46
